Date,Open,High,Low,Close,Adj Close,Volume
13/4/2015,53.299999,53.75,52.599998,53.400002,51.190903,49518573
14/4/2015,54.25,54.25,53,53.25,51.047108,32506845
15/4/2015,53.799999,53.799999,52.5,52.549999,50.376057,29316804
16/4/2015,52.549999,52.75,52,52.099998,49.944672,33085671
17/4/2015,52.700001,53.5,52.299999,53.25,51.047108,25718399
20/4/2015,53.200001,53.650002,51.799999,51.900002,49.752953,24433895
21/4/2015,51.900002,52.200001,51.299999,51.5,49.369492,45220506
22/4/2015,51.5,51.549999,50.650002,51.049999,48.938118,65409252
23/4/2015,51.200001,52.400002,51.200001,52.150002,49.992607,68051760
24/4/2015,52.900002,52.950001,51.25,51.849998,49.705017,46314224
27/4/2015,52.5,52.5,51.849998,52.099998,49.944672,34405200
28/4/2015,53,53.049999,51.799999,52.200001,50.040539,25835925
29/4/2015,52.25,52.5,51.599998,51.75,49.609158,26907091
30/4/2015,51.75,52.099998,51.450001,51.799999,49.657085,24046403
4/5/2015,51.799999,52.099998,50.849998,51.099998,48.986042,30713408
5/5/2015,51.5,51.700001,50.200001,50.549999,48.458797,27328002
6/5/2015,50.299999,51.900002,50.299999,51.150002,49.033985,21777661
7/5/2015,51.700001,52.099998,51.150002,51.599998,49.465363,24982872
8/5/2015,51.599998,51.700001,51.049999,51.25,49.129837,20645977
11/5/2015,51.799999,51.799999,51.099998,51.450001,49.321568,15347405
12/5/2015,51.450001,51.700001,50.650002,50.700001,48.925915,19103152
13/5/2015,50.700001,50.849998,50.150002,50.450001,48.684658,21316710
14/5/2015,51,51,50.049999,50.349998,48.588161,14216581
15/5/2015,51,52.400002,50.700001,52.349998,50.518177,28499562
18/5/2015,52.700001,52.950001,52.049999,52.450001,50.614681,32643655
19/5/2015,52.099998,52.450001,51.75,52,50.180428,16108492
20/5/2015,51.400002,51.650002,50.650002,51.200001,49.408417,23350528
21/5/2015,50.700001,51.400002,50.650002,51.049999,49.263664,19640036
22/5/2015,51.299999,52.099998,51.200001,51.650002,49.842667,15092207
26/5/2015,51.650002,53.599998,51.650002,53.150002,51.290184,29844980
27/5/2015,53.5,53.5,52.150002,52.299999,50.469925,24477116
28/5/2015,52.299999,52.299999,50.5,50.599998,48.829411,46332540
29/5/2015,50.900002,51.700001,50.799999,51.049999,49.263664,36124403
1/6/2015,51.25,52,50.799999,51.549999,49.746174,24323250
2/6/2015,51.150002,51.299999,50.799999,50.900002,49.118919,17749623
